"id","topic_id","step","result"
"416cfb6d-ba35-4ae5-9655-c0ee479cc8b4","57e9ec9c-c979-437a-b1e8-90580921f096","reviewed","ok"
"416cfb6d-ba35-4ae5-9655-c0ee479cc8b4","57e9ec9c-c979-437a-b1e8-90580921f096","locked","ok"
"b45bd021-adf6-4a11-8a33-2073f05148bf","541e84ce-069e-40de-b447-762fc36291f2","reviewed","ok"
"b45bd021-adf6-4a11-8a33-2073f05148bf","541e84ce-069e-40de-b447-762fc36291f2","locked","ok"
"9bbbe15c-815a-4332-a683-b5f23e5717fd","89b27d9f-7081-4930-9186-c41b93349e1a","reviewed","ok"
"9bbbe15c-815a-4332-a683-b5f23e5717fd","89b27d9f-7081-4930-9186-c41b93349e1a","locked","ok"
"2452c815-da88-415f-beb6-1a9dcdd6f5d6","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","reviewed","ok"
"2452c815-da88-415f-beb6-1a9dcdd6f5d6","2ba3fb21-1709-4d8b-9059-bbfee5264d8f","locked","ok"
"a5b78c60-43ca-403f-a1d3-5aeb3adc348c","a9893874-a4ba-4cb8-950f-c570eeb3dfad","reviewed","ok"
"a5b78c60-43ca-403f-a1d3-5aeb3adc348c","a9893874-a4ba-4cb8-950f-c570eeb3dfad","locked","ok"
"cd9faf83-8eb1-4383-aa3f-9a00d54a0cea","1dc3e5ea-2950-42a3-8c79-8a45ade66003","reviewed","ok"
"cd9faf83-8eb1-4383-aa3f-9a00d54a0cea","1dc3e5ea-2950-42a3-8c79-8a45ade66003","locked","ok"
"ccb8d5db-df96-417c-890b-6cb1893bda72","c433edd3-ad2d-408b-bd3e-fbf1828a030d","reviewed","ok"
"ccb8d5db-df96-417c-890b-6cb1893bda72","c433edd3-ad2d-408b-bd3e-fbf1828a030d","locked","ok"
"35f3ce72-ab8d-4580-b85f-fe6a675d6b60","cefdf13b-9b68-489e-b5b2-e3d171d70f2c","reviewed","ok"
"35f3ce72-ab8d-4580-b85f-fe6a675d6b60","cefdf13b-9b68-489e-b5b2-e3d171d70f2c","locked","ok"
"c4833005-8b99-4092-9007-bdb293d71a9f","b0342814-c623-4615-a2aa-e9f6ad1c3df0","reviewed","ok"
"c4833005-8b99-4092-9007-bdb293d71a9f","b0342814-c623-4615-a2aa-e9f6ad1c3df0","locked","ok"
"16cef752-6e9e-4a7d-a31b-be63ff2722c3","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","reviewed","ok"
"16cef752-6e9e-4a7d-a31b-be63ff2722c3","652eb8c7-a25a-48c1-b51d-ddf64f8ede1b","locked","ok"
"4c59110e-c961-4f64-afa9-fae0039c43e3","716450be-826f-428c-a51e-57101be2e9f9","reviewed","ok"
"4c59110e-c961-4f64-afa9-fae0039c43e3","716450be-826f-428c-a51e-57101be2e9f9","locked","ok"
"ed2c9baa-e626-405c-9f97-7d2ea15478e8","9a64933c-c2fa-4db6-aed5-2b87f33c8202","reviewed","ok"
"ed2c9baa-e626-405c-9f97-7d2ea15478e8","9a64933c-c2fa-4db6-aed5-2b87f33c8202","locked","ok"
"95990257-09ad-4b92-8246-a4bc3f6d664b","93d15d96-99b2-489a-a9bf-56ebf8c76ae2","reviewed","ok"
"95990257-09ad-4b92-8246-a4bc3f6d664b","93d15d96-99b2-489a-a9bf-56ebf8c76ae2","locked","ok"
"94338762-7794-40a8-9563-cddd7493dd19","ba519e51-98c4-4db7-b2da-a2e4b2835dba","reviewed","ok"
"94338762-7794-40a8-9563-cddd7493dd19","ba519e51-98c4-4db7-b2da-a2e4b2835dba","locked","ok"
"8d3a6998-530b-466f-9ffe-f66408b9f4f7","d1b7a3f9-84e1-4832-8d3f-ca851b844ce6","reviewed","ok"
"8d3a6998-530b-466f-9ffe-f66408b9f4f7","d1b7a3f9-84e1-4832-8d3f-ca851b844ce6","locked","ok"
"0e311c2f-bbba-4b6a-8de7-a0515da24d1e","ba4a8915-89b4-4e26-87de-9573d8c40bc4","reviewed","ok"
"0e311c2f-bbba-4b6a-8de7-a0515da24d1e","ba4a8915-89b4-4e26-87de-9573d8c40bc4","locked","ok"
"77290921-d848-4506-a7af-eccb9107e498","d189707d-212b-4d57-a1b7-5a240aeb97cb","reviewed","ok"
"77290921-d848-4506-a7af-eccb9107e498","d189707d-212b-4d57-a1b7-5a240aeb97cb","locked","ok"
