file,year,paper,question_number,paper_local_number,global_number,en_len,verdict,best_score,ocr_derived
UPSCCSEMains2014GS1.json,2014,GS1,15,15,15,125,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,16,16,16,130,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,17,17,17,119,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,18,18,18,135,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,19,19,19,115,unverifiable,,true
UPSCCSEMains2014GS1.json,2014,GS1,20,20,20,119,unverifiable,,true
UPSCCSEMains2014GS2.json,2014,GS2,1,1,21,174,orphan,82.8,true
UPSCCSEMains2014GS2.json,2014,GS2,2,2,22,141,orphan,50.0,true
UPSCCSEMains2014GS2.json,2014,GS2,3,3,23,140,orphan,47.1,true
UPSCCSEMains2014GS2.json,2014,GS2,4,4,24,117,orphan,51.8,true
UPSCCSEMains2014GS2.json,2014,GS2,5,5,25,134,orphan,54.1,true
UPSCCSEMains2014GS2.json,2014,GS2,6,6,26,131,orphan,48.8,true
UPSCCSEMains2014GS2.json,2014,GS2,7,7,27,108,orphan,51.4,true
UPSCCSEMains2014GS2.json,2014,GS2,8,8,28,128,orphan,50.8,true
UPSCCSEMains2014GS2.json,2014,GS2,9,9,29,120,orphan,53.0,true
UPSCCSEMains2014GS2.json,2014,GS2,10,10,30,112,orphan,51.4,true
UPSCCSEMains2014GS2.json,2014,GS2,11,11,31,126,orphan,50.8,true
UPSCCSEMains2014GS2.json,2014,GS2,12,12,32,125,orphan,54.0,true
UPSCCSEMains2014GS2.json,2014,GS2,13,13,33,139,orphan,50.4,true
UPSCCSEMains2014GS2.json,2014,GS2,14,14,34,117,orphan,50.0,true
UPSCCSEMains2014GS2.json,2014,GS2,15,15,35,138,orphan,50.7,true
UPSCCSEMains2014GS2.json,2014,GS2,16,16,36,109,orphan,50.9,true
UPSCCSEMains2014GS2.json,2014,GS2,17,17,37,136,orphan,51.9,true
UPSCCSEMains2014GS2.json,2014,GS2,18,18,38,124,orphan,50.4,true
UPSCCSEMains2014GS2.json,2014,GS2,19,19,39,122,orphan,47.1,true
